CÓDIGO,NOMBRE,MODALIDAD,CATEGORÍA,DIRECCIÓN,LOCALIDAD,ZONA,ESPECIALIDAD,COORDENADAS
ur000075,Iranzu II,Restaurantes,Sin definir,Remiro Goñi 12,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8037792, -1.6743898)"
uc000141,Iruña,Cafeterías,Segunda/1 Taza,"Calle de Irunlarrea, 6-8",PAMPLONA,Cuenca de Pamplona,No definida,"(42.8077115, -1.6691608)"
uc000037,Iruñaberri,Cafeterías,Segunda/1 Taza,Av. de Pío XII 7,PAMPLONA,Cuenca de Pamplona,No definida,"(40.4611857, -3.6766094)"
UR000110,Iruñazarra,Restaurantes,Segunda/2 Tenedores,Calle Mercaderes 15,PAMPLONA,Cuenca de Pamplona,"Asador, Casera o regional, De tapas y raciones, Sidrería","(42.8184581, -1.6433032)"
uc000045,Itur,Cafeterías,Segunda/1 Taza,Mº de Urdax 49,PAMPLONA,Cuenca de Pamplona,No definida,"(43.2670688, -1.5045256)"
UR001093,Jakue,Restaurantes,Tercera/1 tenedor,Calle Irunbidea 34,PUENTE LA REINA,Zona Media,No definida,"(43.3381465, -1.7888495)"
ur000403,Jon,Restaurantes,Sin definir,Rinaldi 1,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(40.7860498, -74.0493827)"
ur000836,Kalean Gora,Restaurantes,Sin definir,Tajonar 29,PAMPLONA,Cuenca de Pamplona,Sidrería,"(42.8046369, -1.6346456)"
UR000666,Kampei,Restaurantes,Segunda/2 Tenedores,Abejeras 26,PAMPLONA,Cuenca de Pamplona,Internacional,"(42.8041334, -1.6479805)"
UR000694,Kentucky Fried Chicken,Restaurantes,Tercera/1 tenedor,Av. de Pío XII 37,PAMPLONA,Cuenca de Pamplona,Rápida,"(42.8078009, -1.6594404)"
UR000286,Koishta,Restaurantes,Sin definir,Olite 35,PAMPLONA,Cuenca de Pamplona,No definida,"(42.4851701, -1.6562621)"
ur000621,Koppo,Restaurantes,Sin definir,Plaza del Vínculo 5,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.81463919999999, -1.6445165)"
UR000203,La Aljama,Restaurantes,Sin definir,"La Rua, nº 6 0",ESTELLA,Zona Media,Casera o regional,"(30.417513, -87.23697)"
ur000270,La Bodega,Restaurantes,Sin definir,Martín Azpilicueta 6,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8149911, -1.6621847)"
uc000010,La Bolera,Cafeterías,Segunda/1 Taza,Bardenas Reales 1,PAMPLONA,Cuenca de Pamplona,No definida,"(42.1872313, -1.4821482)"
ur000821,La Bottega,Restaurantes,Sin definir,"Ermitagaña, 2 (Pasaje La Luna) 0",PAMPLONA,Cuenca de Pamplona,Internacional,"(42.8107722, -1.6633601)"
UR000734,La Cantinetta,Restaurantes,Segunda/2 Tenedores,Vuelta del Castillo 9,PAMPLONA,Cuenca de Pamplona,Internacional,"(42.8085511, -1.6506051)"
UR000002,La Cepa,Restaurantes,Segunda/2 Tenedores,"de los Fueros, 15-1º 0",ESTELLA,Zona Media,Asador,"(42.8438787, -2.6699281)"
UR000238,La Conrada,Restaurantes,Segunda/2 Tenedores,de los Fueros 17,PUENTE LA REINA,Zona Media,Casera o regional,"(42.8438787, -2.6699281)"
UR000915,La Fonda,Restaurantes,Sin definir,Bayona 3,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(29.9573278, -90.0680667)"
UR000872,La Fonda de Tito,Restaurantes,Segunda/2 Tenedores,Calle Mayor 50,PUENTE LA REINA,Zona Media,Casera o regional,"(33.8080401, -118.3893071)"
ur000896,La Mafia se sienta a la mesa,Restaurantes,Sin definir,Calle Leyre 7,PAMPLONA,Cuenca de Pamplona,Internacional,"(42.8140501, -1.6391087)"
UR001046,La Mandarra de la Ramos,Restaurantes,Segunda/2 Tenedores,Calle San Nicolás 9 bajo,PAMPLONA,Cuenca de Pamplona,"Casera o regional, De tapas y raciones","(40.239909, -3.7673204)"
